Exposure;LicAge;RecordBeg;RecordEnd;Gender;MariStat;SocioCateg;VehUsage;DrivAge;HasKmLimit;ClaimAmount;ClaimNbResp;ClaimNbNonResp;ClaimNbParking;ClaimNbFireTheft;ClaimNbWindscreen;OutUseNb;RiskArea;BonusMalus;ClaimInd;ObtLic
0.497;391;07/01/2004;06/07/2004;Female;Other;CSP50;Private+trip to office;51;0;0;1;0;0;0;2;0;10;50;0;19
0.236;397;06/07/2004;01/10/2004;Female;Other;CSP50;Private+trip to office;51;0;0;1;0;0;0;2;0;10;50;0;18
0.249;400;01/10/2004;NA;Female;Other;CSP50;Private+trip to office;51;0;0;1;0;0;0;2;0;10;50;0;18
0.262;182;27/09/2004;NA;Male;Alone;CSP50;Private;34;0;0;0;2;0;0;0;0;7;76;0;19
0.497;208;13/04/2004;12/10/2004;Male;Other;CSP50;Private+trip to office;35;0;0;0;3;0;0;0;0;7;50;0;18
0.219;214;12/10/2004;NA;Male;Other;CSP50;Private+trip to office;36;0;0;0;3;0;0;0;0;7;50;0;19
0.796;361;01/01/2004;18/10/2004;Female;Other;CSP50;Private+trip to office;59;0;0;1;0;0;1;0;0;5;50;0;29
0.75;160;01/01/2004;01/10/2004;Female;Other;CSP50;Private+trip to office;34;0;0;0;0;0;0;0;0;8;50;0;21
0.838;417;01/01/2004;03/11/2004;Female;Other;CSP66;Private;61;0;0;1;1;0;0;0;0;7;50;0;27
0.378;418;15/05/2004;01/10/2004;Female;Other;CSP48;Private+trip to office;53;0;0;0;0;0;0;0;1;7;50;0;19
0.249;423;01/10/2004;NA;Female;Other;CSP48;Private+trip to office;53;0;0;0;0;0;0;0;2;7;50;0;18
0.833;189;01/01/2004;01/11/2004;Female;Other;CSP55;Private+trip to office;35;0;0;0;0;0;0;0;0;10;57;0;20
0.023;271;23/10/2004;01/11/2004;Male;Other;CSP50;Private+trip to office;49;0;356.773413897281;0;1;0;0;0;2;8;50;1;27
0.166;272;01/11/2004;NA;Male;Other;CSP50;Private+trip to office;49;0;0;0;1;0;0;1;2;8;50;0;27
0.833;319;01/01/2004;01/11/2004;Female;Other;CSP55;Private+trip to office;64;0;0;1;0;0;0;0;0;6;50;0;38
0.583;244;01/01/2004;01/08/2004;Female;Other;CSP1;Professional;39;0;0;0;0;0;0;1;3;8;50;0;19
0.359;615;22/06/2004;01/11/2004;Male;Other;CSP60;Private;72;0;0;0;0;0;0;0;0;7;50;0;21
0.166;620;01/11/2004;NA;Male;Other;CSP60;Private;72;0;0;0;0;0;0;0;0;7;50;0;21
0.253;601;30/07/2004;01/11/2004;Male;Other;CSP60;Private;85;0;0;2;1;0;0;0;0;10;50;0;35
0.166;605;01/11/2004;NA;Male;Other;CSP60;Private;86;0;0;2;1;0;0;0;0;10;62;0;36
0.155;642;05/11/2004;NA;Male;Other;CSP60;Private;76;0;0;0;0;0;0;0;0;2;50;0;23
0.401;368;01/01/2004;26/05/2004;Male;Other;CSP50;Private+trip to office;49;0;0;1;0;0;0;0;1;8;50;0;19
0.565;204;06/04/2004;30/10/2004;Male;Other;CSP55;Private+trip to office;48;0;0;0;0;0;0;0;1;10;50;0;31
0.916;243;01/01/2004;01/12/2004;Male;Other;CSP50;Private;38;0;0;0;0;0;0;0;0;6;57;0;18
0.833;539;01/01/2004;01/11/2004;Male;Other;CSP60;Private;75;0;645.125981873112;0;0;0;0;0;0;9;50;1;31
0.957;302;01/01/2004;16/12/2004;Female;Other;CSP55;Private+trip to office;49;0;1200.42235649547;0;0;0;0;1;0;8;54;1;24
0.893;388;01/01/2004;23/11/2004;Male;Other;CSP60;Private;66;0;0;1;0;0;0;0;1;9;50;0;34
0.017;545;25/11/2004;01/12/2004;Male;Other;CSP60;Private;63;0;0;0;0;0;0;0;0;11;50;0;18
0.083;546;01/12/2004;NA;Male;Other;CSP60;Private;64;0;0;0;0;0;0;0;0;11;50;0;19
0.611;525;21/05/2004;NA;Male;Other;CSP60;Private;68;1;4326.52567975831;0;0;0;0;0;0;10;50;1;25
0.117;421;19/11/2004;NA;Male;Other;CSP50;Private+trip to office;56;0;0;0;0;1;0;1;0;10;50;0;21
1;301;01/01/2004;NA;Female;Other;CSP50;Private+trip to office;49;0;0;0;0;0;0;1;0;9;50;0;24
0.012;521;27/12/2004;NA;Male;Other;CSP50;Private+trip to office;65;0;0;0;0;0;0;0;1;9;50;0;22
0.486;711;06/07/2004;NA;Male;Other;CSP60;Private;79;0;0;0;0;0;0;0;0;8;50;0;20
1;565;01/01/2004;NA;Male;Other;CSP60;Private;65;0;0;1;1;0;0;0;0;7;50;0;18
0.93;319;16/01/2004;21/12/2004;Female;Other;CSP1;Professional;45;0;0;1;1;0;0;0;0;10;102;0;19
0.028;330;21/12/2004;NA;Female;Other;CSP1;Professional;46;0;0;1;1;0;0;0;0;10;96;0;19
0.971;290;01/01/2004;21/12/2004;Female;Other;CSP55;Private+trip to office;60;0;0;0;0;0;0;0;0;3;50;0;36
0.322;209;05/07/2004;01/11/2004;Male;Other;CSP50;Private+trip to office;35;0;0;0;0;0;0;1;0;6;52;0;18
0.166;213;01/11/2004;NA;Male;Other;CSP50;Private+trip to office;36;0;0;0;0;0;0;1;0;6;50;0;19
0.12;366;18/05/2004;01/07/2004;Female;Other;CSP50;Private+trip to office;51;0;0;0;0;0;1;0;0;8;58;0;21
0.499;368;01/07/2004;NA;Female;Other;CSP50;Private+trip to office;51;0;-74.2060422960725;0;0;0;1;0;0;8;55;0;21
0.482;343;01/01/2004;25/06/2004;Female;Other;CSP1;Professional;48;0;2667.09335347432;0;0;1;0;1;0;9;64;1;20
0.517;348;25/06/2004;NA;Female;Other;CSP1;Professional;48;0;0;0;0;2;0;1;0;9;64;0;19
1;285;01/01/2004;NA;Male;Other;CSP50;Professional run;43;0;0;0;0;1;0;1;0;7;50;0;20
0.998;276;01/01/2004;31/12/2004;Male;Other;CSP46;Professional;41;0;386.712688821752;0;0;0;0;0;0;6;60;1;18
0.256;697;29/09/2004;NA;Male;Other;CSP60;Private;79;1;0;1;0;0;0;1;0;7;67;0;21
0.916;334;01/01/2004;01/12/2004;Male;Other;CSP1;Professional;60;0;0;0;1;0;0;0;0;8;50;0;33
1;397;01/01/2004;NA;Male;Other;CSP46;Professional;52;0;0;0;0;0;0;0;0;10;50;0;19
0.598;274;26/05/2004;NA;Female;Other;CSP50;Private+trip to office;41;0;0;0;0;0;0;0;2;7;50;0;19
1;254;01/01/2004;NA;Male;Other;CSP50;Private+trip to office;40;0;0;0;0;0;0;1;0;9;50;0;19
0.517;450;25/06/2004;NA;Female;Other;CSP50;Private+trip to office;58;0;0;0;0;0;0;2;0;7;50;0;21
0.008;193;20/01/2004;23/01/2004;Male;Other;CSP48;Professional;38;0;0;0;1;0;0;0;0;6;64;0;22
0.939;193;23/01/2004;NA;Male;Other;CSP48;Professional;38;0;0;0;1;0;0;0;0;6;64;0;22
0.766;435;01/01/2004;07/10/2004;Male;Other;CSP50;Private+trip to office;54;0;0;0;0;0;0;2;0;6;50;0;18
0.083;415;01/01/2004;01/02/2004;Male;Alone;CSP55;Private+trip to office;55;0;0;0;0;0;0;1;0;6;50;0;21
0.916;416;01/02/2004;NA;Male;Alone;CSP55;Private+trip to office;55;0;0;0;0;0;0;1;0;6;50;0;21
0.917;196;31/01/2004;NA;Male;Alone;CSP50;Private+trip to office;37;0;0;0;1;1;0;1;0;8;72;0;21
0.058;610;10/03/2004;01/04/2004;Male;Other;CSP60;Private;69;1;0;0;0;0;0;0;0;10;50;0;19
0.651;611;01/04/2004;26/11/2004;Male;Other;CSP60;Private;69;1;0;0;0;0;0;0;0;10;50;0;19
0.098;618;26/11/2004;NA;Male;Other;CSP60;Private;69;0;0;0;0;0;0;0;0;10;50;0;18
0.233;586;07/01/2004;01/04/2004;Male;Other;CSP60;Private;71;0;0;1;1;0;0;1;1;7;68;0;23
0.097;446;01/01/2004;06/02/2004;Male;Alone;CSP48;Professional;57;0;2020.63595166163;0;1;0;0;0;0;11;50;1;20
0.902;447;06/02/2004;NA;Male;Alone;CSP48;Professional;58;0;0;1;1;0;0;0;0;11;50;0;21
0.113;546;15/01/2004;26/02/2004;Male;Other;CSP60;Private;64;1;0;0;0;0;0;0;0;9;50;0;19
0.848;547;26/02/2004;NA;Male;Other;CSP60;Private;64;1;0;0;0;0;0;0;0;9;50;0;19
0.047;426;15/10/2004;02/11/2004;Male;Other;CSP50;Private+trip to office;53;0;0;0;0;0;0;1;0;9;50;0;18
0.163;427;02/11/2004;NA;Male;Other;CSP50;Private+trip to office;53;0;0;0;0;0;0;1;0;9;50;0;18
0.575;162;04/06/2004;NA;Female;Other;CSP50;Private+trip to office;32;0;0;0;0;0;0;0;0;7;50;0;19
0.125;542;16/02/2004;01/04/2004;Female;Other;CSP60;Private;66;0;0;1;0;0;0;1;0;7;58;0;21
0.749;544;01/04/2004;NA;Female;Other;CSP60;Private;66;0;0;1;0;0;0;1;0;7;55;0;21
0.147;440;08/01/2004;01/03/2004;Male;Other;CSP1;Professional;55;0;0;0;1;0;0;0;0;10;50;0;19
0.833;442;01/03/2004;NA;Male;Other;CSP1;Professional;55;0;0;0;1;0;0;0;0;10;50;0;19
0.333;266;01/01/2004;01/05/2004;Male;Other;CSP50;Private+trip to office;40;0;0;0;0;0;0;0;0;6;64;0;18
0.166;318;01/01/2004;01/03/2004;Male;Other;CSP50;Private+trip to office;60;0;0;0;2;0;0;0;0;8;50;0;34
0.183;584;01/01/2004;07/03/2004;Male;Other;CSP60;Private;71;0;0;0;0;1;0;0;0;7;50;0;23
0.816;586;07/03/2004;NA;Male;Other;CSP60;Private;71;0;467.729003021148;0;0;1;0;0;0;7;50;1;23
0.001;267;31/12/2004;NA;Male;Other;CSP50;Private+trip to office;41;0;0;0;0;0;1;1;0;7;60;0;19
0.166;350;01/01/2004;01/03/2004;Female;Other;CSP60;Private;63;0;0;0;0;1;0;1;1;4;57;0;34
0.707;352;01/03/2004;16/11/2004;Female;Other;CSP60;Private;63;0;7373.95740181269;0;0;0;0;1;1;4;54;1;34
0.205;154;01/01/2004;15/03/2004;Male;Other;CSP50;Private+trip to office;54;0;0;0;0;0;0;0;0;10;68;0;42
0.794;156;15/03/2004;NA;Male;Other;CSP50;Private+trip to office;54;0;0;0;0;0;0;0;0;10;64;0;41
0.083;311;01/01/2004;01/02/2004;Male;Other;CSP50;Private+trip to office;46;0;0;0;1;1;0;0;0;7;53;0;21
0.916;312;01/02/2004;NA;Male;Other;CSP50;Private+trip to office;46;0;0;0;0;1;0;0;0;7;50;0;20
0.166;465;01/01/2004;01/03/2004;Female;Other;CSP50;Private;57;1;0;0;0;1;0;0;0;7;50;0;19
0.506;447;29/06/2004;NA;Female;Other;CSP50;Private;58;0;3042.23564954683;0;0;1;0;0;0;11;50;1;21
0.211;178;15/10/2004;NA;Male;Other;CSP55;Private+trip to office;34;0;0;0;1;0;0;0;0;10;50;0;20
0.25;614;01/01/2004;01/04/2004;Male;Other;CSP60;Private;72;0;1059.95166163142;0;0;0;0;0;0;9;50;1;21
0.749;617;01/04/2004;NA;Male;Other;CSP60;Private;73;0;0;1;0;0;0;0;0;9;50;0;22
0.028;410;21/12/2004;NA;Female;Other;CSP60;Private;54;0;0;1;0;0;0;0;0;7;50;0;20
0.166;285;01/01/2004;01/03/2004;Male;Other;CSP42;Private+trip to office;41;0;0;1;0;0;0;0;5;6;50;0;18
0.833;287;01/03/2004;NA;Male;Other;CSP42;Private+trip to office;41;0;0;1;0;0;0;0;5;6;50;0;18
0.25;251;01/01/2004;01/04/2004;Female;Other;CSP50;Private+trip to office;59;1;0;1;0;0;0;0;0;4;50;0;39
0.749;254;01/04/2004;NA;Female;Other;CSP50;Private+trip to office;59;1;0;1;0;0;0;0;0;4;50;0;38
0.064;397;08/12/2004;NA;Male;Other;CSP60;Private;70;0;0;0;0;0;0;0;0;9;50;0;37
0.064;277;08/12/2004;NA;Female;Other;CSP50;Private+trip to office;42;0;0;0;0;0;0;0;0;7;50;0;19
0.288;368;01/01/2004;15/04/2004;Male;Other;CSP50;Private;49;0;0;0;0;0;0;0;0;10;51;0;19
0.711;371;15/04/2004;NA;Male;Other;CSP50;Private;49;0;0;0;0;0;0;0;0;10;50;0;19
0.166;346;01/01/2004;01/03/2004;Male;Other;CSP50;Private+trip to office;49;0;0;1;0;0;0;1;0;8;50;0;21
0.082;348;01/03/2004;31/03/2004;Male;Other;CSP50;Private+trip to office;49;0;0;1;0;0;0;1;0;8;50;0;20
0.751;348;31/03/2004;NA;Male;Other;CSP50;Private+trip to office;49;0;0;1;0;0;0;1;0;8;50;0;20
0.25;250;01/01/2004;01/04/2004;Female;Other;CSP50;Private+trip to office;38;0;0;0;0;0;0;1;0;6;50;0;18
0.749;253;01/04/2004;NA;Female;Other;CSP50;Private+trip to office;39;0;0;0;0;0;0;1;0;6;50;0;18
0.633;514;13/05/2004;NA;Male;Other;CSP60;Private;65;0;0;0;0;0;0;0;0;5;50;0;23
0.166;446;01/01/2004;01/03/2004;Male;Other;CSP50;Private+trip to office;55;0;0;0;0;0;0;0;0;8;50;0;18
0.024;448;01/03/2004;10/03/2004;Male;Other;CSP50;Private+trip to office;55;0;0;0;0;0;0;0;0;8;50;0;18
0.808;448;10/03/2004;NA;Male;Other;CSP50;Private+trip to office;55;0;0;0;0;0;0;0;0;8;50;0;18
0.25;412;01/01/2004;01/04/2004;Male;Other;CSP50;Private;62;1;397.175528700906;0;0;0;0;0;0;10;52;1;28
0.749;415;01/04/2004;NA;Male;Other;CSP50;Private;62;1;0;0;0;0;0;1;0;10;50;0;28
0.098;559;26/03/2004;01/05/2004;Male;Other;CSP60;Private;70;0;0;0;0;0;0;1;0;6;50;0;24
0.25;270;01/01/2004;01/04/2004;Female;Alone;CSP50;Private+trip to office;43;0;0;0;0;0;0;0;0;10;54;0;21
0.749;273;01/04/2004;NA;Female;Alone;CSP50;Private+trip to office;44;0;0;0;0;0;0;0;0;10;51;0;22
0.25;153;01/01/2004;01/04/2004;Male;Other;CSP55;Private+trip to office;30;0;0;0;0;0;0;1;0;9;68;0;18
0.215;156;01/04/2004;19/06/2004;Male;Other;CSP55;Private+trip to office;31;0;0;0;0;0;0;1;0;9;64;0;18
0.333;395;01/01/2004;01/05/2004;Female;Other;CSP60;Private;62;1;0;0;0;0;0;0;0;10;50;0;30
0.666;399;01/05/2004;NA;Female;Other;CSP60;Private;62;1;0;0;0;0;0;0;0;10;50;0;29
0.117;308;19/11/2004;NA;Male;Other;CSP60;Private;69;0;0;0;0;0;0;0;0;7;50;0;44
0.733;156;07/04/2004;NA;Female;Other;CSP50;Private+trip to office;31;0;2764.16918429003;0;0;0;0;0;0;6;50;1;18
0.523;434;23/06/2004;NA;Male;Other;CSP46;Professional;54;0;0;0;0;0;0;1;0;11;50;0;18
0.318;525;01/01/2004;26/04/2004;Male;Other;CSP55;Private;61;0;0;0;0;0;0;0;0;5;50;0;18
0.329;695;01/01/2004;30/04/2004;Male;Other;CSP60;Private;79;1;584.846827794562;0;0;0;0;0;0;6;50;1;22
0.25;230;01/01/2004;01/04/2004;Male;Alone;CSP55;Private+trip to office;37;0;0;0;0;0;0;0;0;3;72;0;18
0.749;233;01/04/2004;NA;Male;Alone;CSP55;Private+trip to office;38;0;0;0;0;0;0;0;0;3;68;0;19
0.333;452;01/01/2004;01/05/2004;Female;Other;CSP50;Private+trip to office;57;0;0;0;0;0;0;1;0;6;50;0;20
0.205;458;01/01/2004;15/03/2004;Female;Other;CSP50;Private+trip to office;57;1;0;0;0;0;0;0;0;7;50;0;19
0.045;460;15/03/2004;01/04/2004;Female;Other;CSP60;Private;58;0;0;0;0;0;0;0;0;7;50;0;20
0.749;461;01/04/2004;NA;Female;Other;CSP60;Private;58;0;0;0;0;0;0;0;0;7;50;0;20
0.061;233;09/04/2004;01/05/2004;Female;Other;CSP50;Private+trip to office;54;0;0;0;0;0;0;0;0;9;50;0;35
0.666;234;01/05/2004;NA;Female;Other;CSP50;Private+trip to office;54;0;0;0;0;0;0;0;0;9;50;0;35
0.12;359;18/11/2004;NA;Male;Other;CSP50;Private+trip to office;48;0;0;1;1;0;0;1;0;10;50;0;19
0.333;296;01/01/2004;01/05/2004;Female;Other;CSP50;Private+trip to office;53;0;0;0;0;0;0;0;0;10;50;0;29
0.666;300;01/05/2004;NA;Female;Other;CSP50;Private+trip to office;53;0;-1222.58519637462;0;0;0;0;0;0;10;50;0;28
0.325;359;07/05/2004;04/09/2004;Male;Other;CSP50;Private+trip to office;49;0;0;0;0;0;0;0;1;5;50;0;20
0.416;255;01/01/2004;01/06/2004;Female;Alone;CSP50;Private+trip to office;39;0;-316.288821752266;0;2;0;0;0;0;6;50;0;18
0.583;260;01/06/2004;NA;Female;Alone;CSP50;Private+trip to office;40;0;0;0;3;0;0;0;0;6;50;0;19
0.288;564;01/01/2004;15/04/2004;Male;Other;CSP1;Professional;66;0;0;0;0;0;0;0;0;7;50;0;19
0.711;567;15/04/2004;NA;Male;Other;CSP1;Professional;67;0;0;0;0;0;0;0;0;7;50;0;20
0.417;463;31/07/2004;NA;Male;Other;CSP46;Professional;58;0;0;0;1;0;0;0;2;6;50;0;20
0.416;571;01/01/2004;01/06/2004;Male;Other;CSP60;Private;69;0;0;0;0;0;0;2;0;10;50;0;22
0.333;495;01/01/2004;01/05/2004;Female;Other;CSP60;Private;94;0;0;0;0;0;0;0;0;11;50;0;53
0.666;499;01/05/2004;NA;Female;Other;CSP60;Private;95;0;0;0;0;0;0;0;0;11;50;0;54
0.211;538;15/10/2004;NA;Male;Other;CSP60;Private;64;0;0;0;0;0;0;1;0;4;50;0;20
0.347;159;01/01/2004;06/05/2004;Female;Alone;CSP50;Private+trip to office;34;0;12780.6770392749;0;0;0;1;0;0;9;51;1;21
0.069;163;06/05/2004;01/06/2004;Female;Alone;CSP50;Private+trip to office;35;0;0;0;0;0;2;0;0;9;50;0;22
0.583;164;01/06/2004;NA;Female;Alone;CSP50;Private+trip to office;35;0;0;0;0;0;2;0;0;9;50;0;22
0.416;342;01/01/2004;01/06/2004;Male;Alone;CSP55;Private+trip to office;47;0;0;0;2;0;0;0;0;10;50;0;19
0.249;507;01/10/2004;NA;Male;Other;CSP60;Private;64;0;0;0;0;0;0;1;0;12;50;0;22
0.203;237;18/03/2004;01/06/2004;Male;Other;CSP48;Professional;38;0;0;0;0;0;0;0;0;10;54;0;19
0.407;240;01/06/2004;28/10/2004;Male;Other;CSP48;Professional;39;0;0;0;0;0;0;0;0;10;51;0;19
0.5;517;01/01/2004;01/07/2004;Female;Other;CSP60;Private;69;0;0;1;1;0;0;0;0;4;50;0;26
0.499;523;01/07/2004;NA;Female;Other;CSP60;Private;70;0;0;1;1;0;0;0;0;4;50;0;27
0.439;416;23/07/2004;NA;Male;Other;CSP50;Private+trip to office;53;0;0;0;0;0;0;0;0;7;50;0;19
0.416;527;01/01/2004;01/06/2004;Male;Other;CSP60;Private;63;0;0;0;0;0;0;0;1;2;76;0;20
0.583;532;01/06/2004;NA;Male;Other;CSP60;Private;64;0;0;0;0;0;0;0;1;2;72;0;20
0.502;371;01/01/2004;02/07/2004;Female;Other;CSP50;Private+trip to office;50;1;0;0;0;0;0;0;0;6;51;0;20
0.5;368;01/01/2004;01/07/2004;Male;Other;CSP50;Private+trip to office;49;0;0;1;1;0;0;1;0;10;58;0;19
0.516;456;01/01/2004;07/07/2004;Male;Alone;CSP50;Private+trip to office;57;0;0;0;0;0;0;0;0;10;50;0;19
0.064;470;08/12/2004;NA;Female;Other;CSP50;Private;74;0;0;0;0;0;0;0;0;9;50;0;35
0.5;437;01/01/2004;01/07/2004;Male;Other;CSP60;Private;68;1;0;0;0;0;0;0;0;7;50;0;32
0.262;218;27/03/2004;01/07/2004;Male;Other;CSP50;Private+trip to office;36;0;0;1;1;0;0;1;0;8;50;0;18
0.166;222;01/07/2004;01/09/2004;Male;Other;CSP50;Private+trip to office;36;0;0;1;1;0;0;1;0;8;50;0;18
0.496;548;01/01/2004;30/06/2004;Female;Other;CSP60;Private;70;0;0;0;0;0;0;0;0;11;50;0;25
0.503;553;30/06/2004;NA;Female;Other;CSP60;Private;71;0;0;0;0;0;0;0;0;11;50;0;25
0.5;150;01/01/2004;01/07/2004;Female;Other;CSP50;Private+trip to office;41;0;0;1;0;0;1;1;0;11;51;0;29
0.077;255;03/12/2004;NA;Male;Other;CSP55;Private+trip to office;45;0;0;0;1;0;0;0;0;3;64;0;24
0.563;188;01/01/2004;24/07/2004;Female;Other;CSP55;Private+trip to office;34;0;2210.1335347432;0;0;0;0;0;3;5;51;1;19
0.295;153;15/03/2004;01/07/2004;Male;Other;CSP50;Private+trip to office;38;0;0;0;0;0;0;0;0;11;85;0;26
0.499;157;01/07/2004;NA;Male;Other;CSP50;Private+trip to office;38;0;0;0;0;0;0;0;0;11;80;0;25
0.094;461;18/06/2004;22/07/2004;Male;Other;CSP50;Professional;56;0;0;0;0;0;0;1;1;7;50;0;18
0.025;462;22/07/2004;01/08/2004;Male;Other;CSP50;Professional;56;0;0;0;0;0;0;1;1;7;50;0;18
0.046;463;01/08/2004;18/08/2004;Male;Other;CSP50;Professional;56;0;0;0;0;0;0;1;1;7;50;0;18
0.072;463;18/08/2004;14/09/2004;Male;Other;CSP50;Professional;56;0;0;0;0;0;0;1;1;7;50;0;18
0.002;464;14/09/2004;15/09/2004;Male;Other;CSP50;Professional;56;0;0;0;0;0;0;1;1;7;50;0;18
0.294;464;15/09/2004;NA;Male;Other;CSP50;Professional;56;0;0;0;0;0;0;1;1;7;50;0;18
0.499;452;01/07/2004;NA;Male;Other;CSP60;Private;58;0;205.722054380665;0;0;0;0;0;0;7;50;1;21
0.583;219;01/01/2004;01/08/2004;Male;Other;CSP50;Private+trip to office;37;0;0;1;0;0;0;0;0;7;62;0;19
0.064;404;08/12/2004;NA;Female;Other;CSP66;Private+trip to office;51;0;0;0;0;0;0;0;1;9;60;0;18
0.464;498;14/01/2004;01/07/2004;Male;Other;CSP46;Professional;59;0;1531.72205438066;0;0;0;0;0;3;7;50;1;18
0.155;385;05/11/2004;NA;Female;Other;CSP50;Private+trip to office;50;0;0;0;0;1;0;0;0;10;50;0;18
0.262;166;27/09/2004;NA;Female;Other;CSP50;Private+trip to office;40;0;0;0;0;0;0;1;0;11;80;0;27
0.2;156;19/05/2004;01/08/2004;Male;Other;CSP50;Private+trip to office;31;0;0;0;0;0;0;1;0;7;51;0;18
0.666;331;01/01/2004;01/09/2004;Female;Other;CSP55;Private+trip to office;58;0;0;1;0;0;0;0;0;6;68;0;31
0.381;151;16/04/2004;03/09/2004;Male;Other;CSP50;Private+trip to office;30;0;0;0;0;0;0;0;0;4;51;0;18
0.327;156;03/09/2004;NA;Male;Other;CSP50;Private+trip to office;31;0;0;0;0;0;0;0;0;4;50;0;18
0.336;336;04/05/2004;05/09/2004;Male;Other;CSP55;Private+trip to office;49;0;0;0;1;0;0;0;0;7;63;0;21
