"Exposure","LicAge","RecordBeg","RecordEnd","Gender","MariStat","SocioCateg","VehUsage","DrivAge","HasKmLimit","ClaimAmount","ClaimNbResp","ClaimNbNonResp","ClaimNbParking","ClaimNbFireTheft","ClaimNbWindscreen","OutUseNb","RiskArea","BonusMalus","ClaimInd"
0.249,588,2004-10-01,NA,"Male","Other","CSP60","Private",68,0,0,0,0,0,0,0,0,2,50,0
0.617,602,2004-05-19,NA,"Male","Other","CSP60","Private",68,0,5377.20453172205,1,0,1,0,1,0,4,50,1
0.761,357,2004-01-01,2004-10-05,"Female","Alone","CSP55","Private+trip to office",47,0,2017.84350453172,0,1,0,0,0,0,6,50,1
0.238,366,2004-10-05,NA,"Female","Alone","CSP55","Private+trip to office",48,0,0,1,1,0,0,0,0,6,50,0
0.598,343,2004-02-26,2004-10-01,"Female","Other","CSP50","Private+trip to office",56,0,0,0,0,0,0,1,0,7,50,0
0.249,351,2004-10-01,NA,"Female","Other","CSP50","Private+trip to office",57,0,0,0,0,0,0,1,0,7,50,0
0.75,603,2004-01-01,2004-10-01,"Male","Other","CSP60","Private",77,0,0,0,0,0,0,0,1,6,50,0
0.728,175,2004-01-09,2004-10-01,"Male","Other","CSP6","Professional run",32,0,0,0,2,0,0,2,1,9,51,0
0.249,184,2004-10-01,NA,"Male","Other","CSP6","Professional run",33,0,0,0,1,0,0,2,2,9,50,0
0.497,391,2004-01-07,2004-07-06,"Female","Other","CSP50","Private+trip to office",51,0,0,1,0,0,0,2,0,10,50,0
0.236,397,2004-07-06,2004-10-01,"Female","Other","CSP50","Private+trip to office",51,0,0,1,0,0,0,2,0,10,50,0
0.249,400,2004-10-01,NA,"Female","Other","CSP50","Private+trip to office",51,0,0,1,0,0,0,2,0,10,50,0
0.262,182,2004-09-27,NA,"Male","Alone","CSP50","Private",34,0,0,0,2,0,0,0,0,7,76,0
0.497,208,2004-04-13,2004-10-12,"Male","Other","CSP50","Private+trip to office",35,0,0,0,3,0,0,0,0,7,50,0
0.219,214,2004-10-12,NA,"Male","Other","CSP50","Private+trip to office",36,0,0,0,3,0,0,0,0,7,50,0
0.796,361,2004-01-01,2004-10-18,"Female","Other","CSP50","Private+trip to office",59,0,0,1,0,0,1,0,0,5,50,0
0.75,160,2004-01-01,2004-10-01,"Female","Other","CSP50","Private+trip to office",34,0,0,0,0,0,0,0,0,8,50,0
0.838,417,2004-01-01,2004-11-03,"Female","Other","CSP66","Private",61,0,0,1,1,0,0,0,0,7,50,0
0.378,418,2004-05-15,2004-10-01,"Female","Other","CSP48","Private+trip to office",53,0,0,0,0,0,0,0,1,7,50,0
0.249,423,2004-10-01,NA,"Female","Other","CSP48","Private+trip to office",53,0,0,0,0,0,0,0,2,7,50,0
0.833,189,2004-01-01,2004-11-01,"Female","Other","CSP55","Private+trip to office",35,0,0,0,0,0,0,0,0,10,57,0
0.023,271,2004-10-23,2004-11-01,"Male","Other","CSP50","Private+trip to office",49,0,356.773413897281,0,1,0,0,0,2,8,50,1
0.166,272,2004-11-01,NA,"Male","Other","CSP50","Private+trip to office",49,0,0,0,1,0,0,1,2,8,50,0
0.833,319,2004-01-01,2004-11-01,"Female","Other","CSP55","Private+trip to office",64,0,0,1,0,0,0,0,0,6,50,0
0.583,244,2004-01-01,2004-08-01,"Female","Other","CSP1","Professional",39,0,0,0,0,0,0,1,3,8,50,0
0.359,615,2004-06-22,2004-11-01,"Male","Other","CSP60","Private",72,0,0,0,0,0,0,0,0,7,50,0
0.166,620,2004-11-01,NA,"Male","Other","CSP60","Private",72,0,0,0,0,0,0,0,0,7,50,0
0.253,601,2004-07-30,2004-11-01,"Male","Other","CSP60","Private",85,0,0,2,1,0,0,0,0,10,50,0
0.166,605,2004-11-01,NA,"Male","Other","CSP60","Private",86,0,0,2,1,0,0,0,0,10,62,0
0.155,642,2004-11-05,NA,"Male","Other","CSP60","Private",76,0,0,0,0,0,0,0,0,2,50,0
0.401,368,2004-01-01,2004-05-26,"Male","Other","CSP50","Private+trip to office",49,0,0,1,0,0,0,0,1,8,50,0
0.565,204,2004-04-06,2004-10-30,"Male","Other","CSP55","Private+trip to office",48,0,0,0,0,0,0,0,1,10,50,0
0.916,243,2004-01-01,2004-12-01,"Male","Other","CSP50","Private",38,0,0,0,0,0,0,0,0,6,57,0
0.833,539,2004-01-01,2004-11-01,"Male","Other","CSP60","Private",75,0,645.125981873112,0,0,0,0,0,0,9,50,1
0.957,302,2004-01-01,2004-12-16,"Female","Other","CSP55","Private+trip to office",49,0,1200.42235649547,0,0,0,0,1,0,8,54,1
0.893,388,2004-01-01,2004-11-23,"Male","Other","CSP60","Private",66,0,0,1,0,0,0,0,1,9,50,0
0.017,545,2004-11-25,2004-12-01,"Male","Other","CSP60","Private",63,0,0,0,0,0,0,0,0,11,50,0
0.083,546,2004-12-01,NA,"Male","Other","CSP60","Private",64,0,0,0,0,0,0,0,0,11,50,0
0.611,525,2004-05-21,NA,"Male","Other","CSP60","Private",68,1,4326.52567975831,0,0,0,0,0,0,10,50,1
0.117,421,2004-11-19,NA,"Male","Other","CSP50","Private+trip to office",56,0,0,0,0,1,0,1,0,10,50,0
1,301,2004-01-01,NA,"Female","Other","CSP50","Private+trip to office",49,0,0,0,0,0,0,1,0,9,50,0
0.012,521,2004-12-27,NA,"Male","Other","CSP50","Private+trip to office",65,0,0,0,0,0,0,0,1,9,50,0
0.486,711,2004-07-06,NA,"Male","Other","CSP60","Private",79,0,0,0,0,0,0,0,0,8,50,0
1,565,2004-01-01,NA,"Male","Other","CSP60","Private",65,0,0,1,1,0,0,0,0,7,50,0
0.93,319,2004-01-16,2004-12-21,"Female","Other","CSP1","Professional",45,0,0,1,1,0,0,0,0,10,102,0
0.028,330,2004-12-21,NA,"Female","Other","CSP1","Professional",46,0,0,1,1,0,0,0,0,10,96,0
0.971,290,2004-01-01,2004-12-21,"Female","Other","CSP55","Private+trip to office",60,0,0,0,0,0,0,0,0,3,50,0
0.322,209,2004-07-05,2004-11-01,"Male","Other","CSP50","Private+trip to office",35,0,0,0,0,0,0,1,0,6,52,0
0.166,213,2004-11-01,NA,"Male","Other","CSP50","Private+trip to office",36,0,0,0,0,0,0,1,0,6,50,0
0.12,366,2004-05-18,2004-07-01,"Female","Other","CSP50","Private+trip to office",51,0,0,0,0,0,1,0,0,8,58,0
0.482,343,2004-01-01,2004-06-25,"Female","Other","CSP1","Professional",48,0,2667.09335347432,0,0,1,0,1,0,9,64,1
0.517,348,2004-06-25,NA,"Female","Other","CSP1","Professional",48,0,0,0,0,2,0,1,0,9,64,0
1,285,2004-01-01,NA,"Male","Other","CSP50","Professional run",43,0,0,0,0,1,0,1,0,7,50,0
0.998,276,2004-01-01,2004-12-31,"Male","Other","CSP46","Professional",41,0,386.712688821752,0,0,0,0,0,0,6,60,1
0.256,697,2004-09-29,NA,"Male","Other","CSP60","Private",79,1,0,1,0,0,0,1,0,7,67,0
0.916,334,2004-01-01,2004-12-01,"Male","Other","CSP1","Professional",60,0,0,0,1,0,0,0,0,8,50,0
1,397,2004-01-01,NA,"Male","Other","CSP46","Professional",52,0,0,0,0,0,0,0,0,10,50,0
0.598,274,2004-05-26,NA,"Female","Other","CSP50","Private+trip to office",41,0,0,0,0,0,0,0,2,7,50,0
1,254,2004-01-01,NA,"Male","Other","CSP50","Private+trip to office",40,0,0,0,0,0,0,1,0,9,50,0
0.517,450,2004-06-25,NA,"Female","Other","CSP50","Private+trip to office",58,0,0,0,0,0,0,2,0,7,50,0
0.008,193,2004-01-20,2004-01-23,"Male","Other","CSP48","Professional",38,0,0,0,1,0,0,0,0,6,64,0
0.939,193,2004-01-23,NA,"Male","Other","CSP48","Professional",38,0,0,0,1,0,0,0,0,6,64,0
0.766,435,2004-01-01,2004-10-07,"Male","Other","CSP50","Private+trip to office",54,0,0,0,0,0,0,2,0,6,50,0
0.083,415,2004-01-01,2004-02-01,"Male","Alone","CSP55","Private+trip to office",55,0,0,0,0,0,0,1,0,6,50,0
0.916,416,2004-02-01,NA,"Male","Alone","CSP55","Private+trip to office",55,0,0,0,0,0,0,1,0,6,50,0
0.917,196,2004-01-31,NA,"Male","Alone","CSP50","Private+trip to office",37,0,0,0,1,1,0,1,0,8,72,0
0.058,610,2004-03-10,2004-04-01,"Male","Other","CSP60","Private",69,1,0,0,0,0,0,0,0,10,50,0
0.651,611,2004-04-01,2004-11-26,"Male","Other","CSP60","Private",69,1,0,0,0,0,0,0,0,10,50,0
0.098,618,2004-11-26,NA,"Male","Other","CSP60","Private",69,0,0,0,0,0,0,0,0,10,50,0
0.233,586,2004-01-07,2004-04-01,"Male","Other","CSP60","Private",71,0,0,1,1,0,0,1,1,7,68,0
0.097,446,2004-01-01,2004-02-06,"Male","Alone","CSP48","Professional",57,0,2020.63595166163,0,1,0,0,0,0,11,50,1
0.902,447,2004-02-06,NA,"Male","Alone","CSP48","Professional",58,0,0,1,1,0,0,0,0,11,50,0
0.555,587,2004-06-11,NA,"Male","Other","CSP21","Professional",67,0,0,0,0,0,0,0,0,5,50,0
0.113,546,2004-01-15,2004-02-26,"Male","Other","CSP60","Private",64,1,0,0,0,0,0,0,0,9,50,0
0.848,547,2004-02-26,NA,"Male","Other","CSP60","Private",64,1,0,0,0,0,0,0,0,9,50,0
0.047,426,2004-10-15,2004-11-02,"Male","Other","CSP50","Private+trip to office",53,0,0,0,0,0,0,1,0,9,50,0
0.163,427,2004-11-02,NA,"Male","Other","CSP50","Private+trip to office",53,0,0,0,0,0,0,1,0,9,50,0
0.575,162,2004-06-04,NA,"Female","Other","CSP50","Private+trip to office",32,0,0,0,0,0,0,0,0,7,50,0
0.125,542,2004-02-16,2004-04-01,"Female","Other","CSP60","Private",66,0,0,1,0,0,0,1,0,7,58,0
0.749,544,2004-04-01,NA,"Female","Other","CSP60","Private",66,0,0,1,0,0,0,1,0,7,55,0
0.147,440,2004-01-08,2004-03-01,"Male","Other","CSP1","Professional",55,0,0,0,1,0,0,0,0,10,50,0
0.833,442,2004-03-01,NA,"Male","Other","CSP1","Professional",55,0,0,0,1,0,0,0,0,10,50,0
0.333,266,2004-01-01,2004-05-01,"Male","Other","CSP50","Private+trip to office",40,0,0,0,0,0,0,0,0,6,64,0
0.166,318,2004-01-01,2004-03-01,"Male","Other","CSP50","Private+trip to office",60,0,0,0,2,0,0,0,0,8,50,0
0.856,344,2004-02-23,NA,"Male","Other","CSP47","Professional",47,0,0,0,0,0,0,0,1,10,65,0
0.183,584,2004-01-01,2004-03-07,"Male","Other","CSP60","Private",71,0,0,0,0,1,0,0,0,7,50,0
0.816,586,2004-03-07,NA,"Male","Other","CSP60","Private",71,0,467.729003021148,0,0,1,0,0,0,7,50,1
0.001,267,2004-12-31,NA,"Male","Other","CSP50","Private+trip to office",41,0,0,0,0,0,1,1,0,7,60,0
0.166,350,2004-01-01,2004-03-01,"Female","Other","CSP60","Private",63,0,0,0,0,1,0,1,1,4,57,0
0.707,352,2004-03-01,2004-11-16,"Female","Other","CSP60","Private",63,0,7373.95740181269,0,0,0,0,1,1,4,54,1
0.205,154,2004-01-01,2004-03-15,"Male","Other","CSP50","Private+trip to office",54,0,0,0,0,0,0,0,0,10,68,0
0.794,156,2004-03-15,NA,"Male","Other","CSP50","Private+trip to office",54,0,0,0,0,0,0,0,0,10,64,0
0.083,311,2004-01-01,2004-02-01,"Male","Other","CSP50","Private+trip to office",46,0,0,0,1,1,0,0,0,7,53,0
0.916,312,2004-02-01,NA,"Male","Other","CSP50","Private+trip to office",46,0,0,0,0,1,0,0,0,7,50,0
0.166,465,2004-01-01,2004-03-01,"Female","Other","CSP50","Private",57,1,0,0,0,1,0,0,0,7,50,0
0.506,447,2004-06-29,NA,"Female","Other","CSP50","Private",58,0,3042.23564954683,0,0,1,0,0,0,11,50,1
0.211,178,2004-10-15,NA,"Male","Other","CSP55","Private+trip to office",34,0,0,0,1,0,0,0,0,10,50,0
0.25,614,2004-01-01,2004-04-01,"Male","Other","CSP60","Private",72,0,1059.95166163142,0,0,0,0,0,0,9,50,1
0.749,617,2004-04-01,NA,"Male","Other","CSP60","Private",73,0,0,1,0,0,0,0,0,9,50,0
0.028,410,2004-12-21,NA,"Female","Other","CSP60","Private",54,0,0,1,0,0,0,0,0,7,50,0
0.166,285,2004-01-01,2004-03-01,"Male","Other","CSP42","Private+trip to office",41,0,0,1,0,0,0,0,5,6,50,0
0.833,287,2004-03-01,NA,"Male","Other","CSP42","Private+trip to office",41,0,0,1,0,0,0,0,5,6,50,0
0.25,251,2004-01-01,2004-04-01,"Female","Other","CSP50","Private+trip to office",59,1,0,1,0,0,0,0,0,4,50,0
0.749,254,2004-04-01,NA,"Female","Other","CSP50","Private+trip to office",59,1,0,1,0,0,0,0,0,4,50,0
0.064,397,2004-12-08,NA,"Male","Other","CSP60","Private",70,0,0,0,0,0,0,0,0,9,50,0
0.064,277,2004-12-08,NA,"Female","Other","CSP50","Private+trip to office",42,0,0,0,0,0,0,0,0,7,50,0
0.288,368,2004-01-01,2004-04-15,"Male","Other","CSP50","Private",49,0,0,0,0,0,0,0,0,10,51,0
0.711,371,2004-04-15,NA,"Male","Other","CSP50","Private",49,0,0,0,0,0,0,0,0,10,50,0
0.166,346,2004-01-01,2004-03-01,"Male","Other","CSP50","Private+trip to office",49,0,0,1,0,0,0,1,0,8,50,0
0.082,348,2004-03-01,2004-03-31,"Male","Other","CSP50","Private+trip to office",49,0,0,1,0,0,0,1,0,8,50,0
0.751,348,2004-03-31,NA,"Male","Other","CSP50","Private+trip to office",49,0,0,1,0,0,0,1,0,8,50,0
0.25,250,2004-01-01,2004-04-01,"Female","Other","CSP50","Private+trip to office",38,0,0,0,0,0,0,1,0,6,50,0
0.749,253,2004-04-01,NA,"Female","Other","CSP50","Private+trip to office",39,0,0,0,0,0,0,1,0,6,50,0
0.633,514,2004-05-13,NA,"Male","Other","CSP60","Private",65,0,0,0,0,0,0,0,0,5,50,0
0.166,446,2004-01-01,2004-03-01,"Male","Other","CSP50","Private+trip to office",55,0,0,0,0,0,0,0,0,8,50,0
0.024,448,2004-03-01,2004-03-10,"Male","Other","CSP50","Private+trip to office",55,0,0,0,0,0,0,0,0,8,50,0
0.808,448,2004-03-10,NA,"Male","Other","CSP50","Private+trip to office",55,0,0,0,0,0,0,0,0,8,50,0
0.853,281,2004-02-24,NA,"Female","Other","CSP37","Private",67,0,0,0,0,0,0,0,0,11,50,0
0.25,412,2004-01-01,2004-04-01,"Male","Other","CSP50","Private",62,1,397.175528700906,0,0,0,0,0,0,10,52,1
0.749,415,2004-04-01,NA,"Male","Other","CSP50","Private",62,1,0,0,0,0,0,1,0,10,50,0
0.098,559,2004-03-26,2004-05-01,"Male","Other","CSP60","Private",70,0,0,0,0,0,0,1,0,6,50,0
0.25,270,2004-01-01,2004-04-01,"Female","Alone","CSP50","Private+trip to office",43,0,0,0,0,0,0,0,0,10,54,0
0.749,273,2004-04-01,NA,"Female","Alone","CSP50","Private+trip to office",44,0,0,0,0,0,0,0,0,10,51,0
0.25,153,2004-01-01,2004-04-01,"Male","Other","CSP55","Private+trip to office",30,0,0,0,0,0,0,1,0,9,68,0
0.215,156,2004-04-01,2004-06-19,"Male","Other","CSP55","Private+trip to office",31,0,0,0,0,0,0,1,0,9,64,0
0.333,395,2004-01-01,2004-05-01,"Female","Other","CSP60","Private",62,1,0,0,0,0,0,0,0,10,50,0
0.666,399,2004-05-01,NA,"Female","Other","CSP60","Private",62,1,0,0,0,0,0,0,0,10,50,0
0.117,308,2004-11-19,NA,"Male","Other","CSP60","Private",69,0,0,0,0,0,0,0,0,7,50,0
0.733,156,2004-04-07,NA,"Female","Other","CSP50","Private+trip to office",31,0,2764.16918429003,0,0,0,0,0,0,6,50,1
0.523,434,2004-06-23,NA,"Male","Other","CSP46","Professional",54,0,0,0,0,0,0,1,0,11,50,0
0.318,525,2004-01-01,2004-04-26,"Male","Other","CSP55","Private",61,0,0,0,0,0,0,0,0,5,50,0
0.329,695,2004-01-01,2004-04-30,"Male","Other","CSP60","Private",79,1,584.846827794562,0,0,0,0,0,0,6,50,1
0.25,230,2004-01-01,2004-04-01,"Male","Alone","CSP55","Private+trip to office",37,0,0,0,0,0,0,0,0,3,72,0
0.749,233,2004-04-01,NA,"Male","Alone","CSP55","Private+trip to office",38,0,0,0,0,0,0,0,0,3,68,0
0.333,452,2004-01-01,2004-05-01,"Female","Other","CSP50","Private+trip to office",57,0,0,0,0,0,0,1,0,6,50,0
0.205,458,2004-01-01,2004-03-15,"Female","Other","CSP50","Private+trip to office",57,1,0,0,0,0,0,0,0,7,50,0
0.045,460,2004-03-15,2004-04-01,"Female","Other","CSP60","Private",58,0,0,0,0,0,0,0,0,7,50,0
0.749,461,2004-04-01,NA,"Female","Other","CSP60","Private",58,0,0,0,0,0,0,0,0,7,50,0
0.061,233,2004-04-09,2004-05-01,"Female","Other","CSP50","Private+trip to office",54,0,0,0,0,0,0,0,0,9,50,0
0.666,234,2004-05-01,NA,"Female","Other","CSP50","Private+trip to office",54,0,0,0,0,0,0,0,0,9,50,0
0.12,359,2004-11-18,NA,"Male","Other","CSP50","Private+trip to office",48,0,0,1,1,0,0,1,0,10,50,0
0.333,296,2004-01-01,2004-05-01,"Female","Other","CSP50","Private+trip to office",53,0,0,0,0,0,0,0,0,10,50,0
0.325,359,2004-05-07,2004-09-04,"Male","Other","CSP50","Private+trip to office",49,0,0,0,0,0,0,0,1,5,50,0
0.583,260,2004-06-01,NA,"Female","Alone","CSP50","Private+trip to office",40,0,0,0,3,0,0,0,0,6,50,0
0.288,564,2004-01-01,2004-04-15,"Male","Other","CSP1","Professional",66,0,0,0,0,0,0,0,0,7,50,0
0.711,567,2004-04-15,NA,"Male","Other","CSP1","Professional",67,0,0,0,0,0,0,0,0,7,50,0
0.417,463,2004-07-31,NA,"Male","Other","CSP46","Professional",58,0,0,0,1,0,0,0,2,6,50,0
0.416,571,2004-01-01,2004-06-01,"Male","Other","CSP60","Private",69,0,0,0,0,0,0,2,0,10,50,0
0.333,495,2004-01-01,2004-05-01,"Female","Other","CSP60","Private",94,0,0,0,0,0,0,0,0,11,50,0
0.666,499,2004-05-01,NA,"Female","Other","CSP60","Private",95,0,0,0,0,0,0,0,0,11,50,0
0.211,538,2004-10-15,NA,"Male","Other","CSP60","Private",64,0,0,0,0,0,0,1,0,4,50,0
0.347,159,2004-01-01,2004-05-06,"Female","Alone","CSP50","Private+trip to office",34,0,12780.6770392749,0,0,0,1,0,0,9,51,1
0.069,163,2004-05-06,2004-06-01,"Female","Alone","CSP50","Private+trip to office",35,0,0,0,0,0,2,0,0,9,50,0
0.583,164,2004-06-01,NA,"Female","Alone","CSP50","Private+trip to office",35,0,0,0,0,0,2,0,0,9,50,0
0.416,342,2004-01-01,2004-06-01,"Male","Alone","CSP55","Private+trip to office",47,0,0,0,2,0,0,0,0,10,50,0
0.249,507,2004-10-01,NA,"Male","Other","CSP60","Private",64,0,0,0,0,0,0,1,0,12,50,0
0.203,237,2004-03-18,2004-06-01,"Male","Other","CSP48","Professional",38,0,0,0,0,0,0,0,0,10,54,0
0.407,240,2004-06-01,2004-10-28,"Male","Other","CSP48","Professional",39,0,0,0,0,0,0,0,0,10,51,0
0.5,517,2004-01-01,2004-07-01,"Female","Other","CSP60","Private",69,0,0,1,1,0,0,0,0,4,50,0
0.499,523,2004-07-01,NA,"Female","Other","CSP60","Private",70,0,0,1,1,0,0,0,0,4,50,0
0.439,416,2004-07-23,NA,"Male","Other","CSP50","Private+trip to office",53,0,0,0,0,0,0,0,0,7,50,0
0.416,527,2004-01-01,2004-06-01,"Male","Other","CSP60","Private",63,0,0,0,0,0,0,0,1,2,76,0
0.583,532,2004-06-01,NA,"Male","Other","CSP60","Private",64,0,0,0,0,0,0,0,1,2,72,0
0.502,371,2004-01-01,2004-07-02,"Female","Other","CSP50","Private+trip to office",50,1,0,0,0,0,0,0,0,6,51,0
0.5,368,2004-01-01,2004-07-01,"Male","Other","CSP50","Private+trip to office",49,0,0,1,1,0,0,1,0,10,58,0
0.516,456,2004-01-01,2004-07-07,"Male","Alone","CSP50","Private+trip to office",57,0,0,0,0,0,0,0,0,10,50,0
0.064,470,2004-12-08,NA,"Female","Other","CSP50","Private",74,0,0,0,0,0,0,0,0,9,50,0
0.5,437,2004-01-01,2004-07-01,"Male","Other","CSP60","Private",68,1,0,0,0,0,0,0,0,7,50,0
0.262,218,2004-03-27,2004-07-01,"Male","Other","CSP50","Private+trip to office",36,0,0,1,1,0,0,1,0,8,50,0
0.166,222,2004-07-01,2004-09-01,"Male","Other","CSP50","Private+trip to office",36,0,0,1,1,0,0,1,0,8,50,0
0.496,548,2004-01-01,2004-06-30,"Female","Other","CSP60","Private",70,0,0,0,0,0,0,0,0,11,50,0
0.503,553,2004-06-30,NA,"Female","Other","CSP60","Private",71,0,0,0,0,0,0,0,0,11,50,0
0.5,150,2004-01-01,2004-07-01,"Female","Other","CSP50","Private+trip to office",41,0,0,1,0,0,1,1,0,11,51,0
0.077,255,2004-12-03,NA,"Male","Other","CSP55","Private+trip to office",45,0,0,0,1,0,0,0,0,3,64,0
0.563,188,2004-01-01,2004-07-24,"Female","Other","CSP55","Private+trip to office",34,0,2210.1335347432,0,0,0,0,0,3,5,51,1
0.295,153,2004-03-15,2004-07-01,"Male","Other","CSP50","Private+trip to office",38,0,0,0,0,0,0,0,0,11,85,0
0.499,157,2004-07-01,NA,"Male","Other","CSP50","Private+trip to office",38,0,0,0,0,0,0,0,0,11,80,0
0.094,461,2004-06-18,2004-07-22,"Male","Other","CSP50","Professional",56,0,0,0,0,0,0,1,1,7,50,0
0.025,462,2004-07-22,2004-08-01,"Male","Other","CSP50","Professional",56,0,0,0,0,0,0,1,1,7,50,0
0.046,463,2004-08-01,2004-08-18,"Male","Other","CSP50","Professional",56,0,0,0,0,0,0,1,1,7,50,0
0.072,463,2004-08-18,2004-09-14,"Male","Other","CSP50","Professional",56,0,0,0,0,0,0,1,1,7,50,0
0.002,464,2004-09-14,2004-09-15,"Male","Other","CSP50","Professional",56,0,0,0,0,0,0,1,1,7,50,0
0.294,464,2004-09-15,NA,"Male","Other","CSP50","Professional",56,0,0,0,0,0,0,1,1,7,50,0
0.499,452,2004-07-01,NA,"Male","Other","CSP60","Private",58,0,205.722054380665,0,0,0,0,0,0,7,50,1
0.583,219,2004-01-01,2004-08-01,"Male","Other","CSP50","Private+trip to office",37,0,0,1,0,0,0,0,0,7,62,0
0.064,404,2004-12-08,NA,"Female","Other","CSP66","Private+trip to office",51,0,0,0,0,0,0,0,1,9,60,0
0.464,498,2004-01-14,2004-07-01,"Male","Other","CSP46","Professional",59,0,1531.72205438066,0,0,0,0,0,3,7,50,1
0.155,385,2004-11-05,NA,"Female","Other","CSP50","Private+trip to office",50,0,0,0,0,1,0,0,0,10,50,0
0.262,166,2004-09-27,NA,"Female","Other","CSP50","Private+trip to office",40,0,0,0,0,0,0,1,0,11,80,0
0.2,156,2004-05-19,2004-08-01,"Male","Other","CSP50","Private+trip to office",31,0,0,0,0,0,0,1,0,7,51,0
0.666,331,2004-01-01,2004-09-01,"Female","Other","CSP55","Private+trip to office",58,0,0,1,0,0,0,0,0,6,68,0
0.381,151,2004-04-16,2004-09-03,"Male","Other","CSP50","Private+trip to office",30,0,0,0,0,0,0,0,0,4,51,0
0.327,156,2004-09-03,NA,"Male","Other","CSP50","Private+trip to office",31,0,0,0,0,0,0,0,0,4,50,0
0.336,336,2004-05-04,2004-09-05,"Male","Other","CSP55","Private+trip to office",49,0,0,0,1,0,0,0,0,7,63,0
